ID,Region,Country,City,Year,System_Type,GHI,Sunlight_Hours,Annual_Production_MWh,Total_Installations,Installation_Cost_USD,Avg_Price_per_kWh,Annual_Savings_USD,ROI_Percentage,CO2_Reduction_Tons,Sustainability_Score,Solar_Viability_Score,Reliability_Score,Risk_Level
1,South America,Brazil,Sao Paulo,2022,Residential,6.47,6.09,8027.09,1915,96122.83,0.2059,1652777.83,1719.44,5399.69,79.52,60.02,63.65,High
2,Europe,Germany,Stockholm,2018,Utility-Scale,5.3,6.31,10961.98,847,391463.32,0.1071,1174028.06,299.91,6701.14,63.89,50.15,89.78,Low
3,Asia,Singapore,Singapore,2023,Commercial,4.56,4.78,5625.8,2972,106171.77,0.2368,1332189.44,1254.75,2471.98,64.66,46.89,94.53,High
4,North America,USA,New York,2022,Residential,6.59,10.9,23374.1,2197,439917.65,0.1446,3379894.86,768.3,14648.67,91.71,62.53,73.86,High
5,South America,Chile,Buenos Aires,2021,Industrial,6.42,5.56,8727.74,1886,495285.51,0.1888,1647797.31,332.7,5921.55,84.23,67.63,90.26,Low
6,Asia,China,Shanghai,2023,Industrial,7.15,8.19,17687.33,4608,145681.94,0.1649,2916640.72,2002.06,14898.77,82.14,67.93,65.45,High
7,Africa,Morocco,Johannesburg,2021,Residential,5.1,5.93,10572.39,3468,279286.83,0.0955,1009663.24,361.51,4478.02,55.48,52.27,90.89,High
8,Middle East,Kuwait,Kuwait City,2019,Utility-Scale,5.62,10.81,19825.42,923,55166.46,0.2025,4014647.55,7277.33,14687.77,76.85,53.87,85,Medium
9,Middle East,Qatar,Dubai,2022,Residential,7.39,9.45,18597.6,1333,97884.87,0.1863,3464732.88,3539.6,15265.55,75.38,70.89,74.58,High
10,Asia,Japan,Jakarta,2019,Commercial,3.95,6.86,9416.33,576,413048.66,0.1207,1136551.03,275.16,4900.6,78.37,35.29,88.54,High
11,South America,Chile,Bogota,2018,Utility-Scale,4.16,7.93,9339.82,3069,483963.31,0.2379,2221943.18,459.11,7262.95,84.49,43.73,75.56,Medium
12,Europe,UK,Madrid,2020,Commercial,4.85,8.32,8841.91,590,149097.82,0.0921,814339.91,546.18,6326.84,61.45,52.55,93.53,High
13,South America,Argentina,Bogota,2021,Utility-Scale,5.66,9.2,17184.03,2912,309295.24,0.1213,2084422.84,673.93,10937.4,70.35,52.54,85.7,Medium
14,South America,Venezuela,Sao Paulo,2019,Utility-Scale,6.11,8.7,10116,1513,377696.11,0.2161,2186067.6,578.79,4599.08,59.58,61.46,65.47,Medium
15,North America,USA,Miami,2021,Commercial,3.7,11,13110.47,3295,486048.32,0.2375,3113736.62,640.62,10807.59,58.32,36.86,68.34,Low
16,North America,Canada,Seattle,2023,Residential,7.21,9.6,15815.33,1793,363466.18,0.2042,3229490.39,888.53,12520.69,83.09,71.97,67.41,Low
17,Asia,Japan,Tokyo,2022,Residential,5.84,7.77,14745.75,1936,120844.73,0.2433,3587640.97,2968.8,6488.95,59.29,59.35,86.33,Medium
18,Europe,Italy,London,2024,Industrial,3.83,8.77,9273.57,2467,192366.43,0.1243,1152704.75,599.22,6814.8,65.71,35.96,65.1,Medium
19,North America,Canada,New York,2024,Utility-Scale,5.98,8.16,9612.81,2344,291935.48,0.166,1595726.46,546.6,4481.76,67.45,55.49,69.53,Low
20,Africa,Kenya,Accra,2020,Commercial,5.95,10.92,18918.87,955,53520.4,0.2189,4141340.64,7737.87,10399.5,83.17,63.89,65.24,Low
21,Asia,South Korea,Delhi,2024,Industrial,4.87,8.97,14197.06,371,277434.08,0.1227,1741979.26,627.89,12125.42,52.54,50.04,92.34,Low
22,Europe,Germany,Rome,2021,Commercial,6.46,8.09,13206.81,4781,54351.36,0.0928,1225591.97,2254.94,11114.23,95.2,65.06,92.55,High
23,Europe,France,London,2019,Commercial,4.96,10.57,18101.72,3339,67952.7,0.1408,2548722.18,3750.73,13413.98,83.35,48.14,81.84,High
24,Europe,Spain,Paris,2024,Residential,3.6,9.29,7908.55,895,468867.15,0.2164,1711410.22,365.01,6580.17,90.54,33.67,90.71,Medium
